id,review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,sentiment_label,sentiment_score,sentiment_category,review_year
81,e29ab4a671400c41322e4855de633c6a,17b296b73ebefd6213299342b09f097f,5,,Maravilha ,2017-08-09,2017-08-11 23:28:46,5 stars,0.8276929259300232,Positivo,2017
88,0bd4dcc4f6c4621baf37f73495cad8c4,a11cd01ac67beef7e8bf09740d8a35c1,3,,Entrega no prazo,2017-03-23,2017-03-23 21:20:16,1 star,0.6464515924453735,Negativo,2017
89,888f11883ff85fa5c07e6ae1192d85c4,248907ae8054cb8e93d5aa44857779b4,5,,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,2018-01-04,2018-01-05 23:30:00,4 stars,0.551889181137085,Positivo,2018
90,65dfeb60c40e3cbb0a1838285d86f885,a2714ecbf6eeb3bb9cd7dba6dc1c5e82,1,,Pedi reembolso e sem resposta até momento ,2018-03-08,2018-03-08 12:27:34,1 star,0.4460401237010956,Negativo,2018
91,50a1eaa2f96d6f3e02d0cd68d92bab75,4a7cf245701068d38d441791b735e4bd,5,***** Recomendo,Super rápido.,2018-05-10,2018-05-11 03:08:49,5 stars,0.8204407691955566,Positivo,2018
101,436f71c9cc0c1aab7f51dc0cd0820516,c676e726f8a14a9527b41b9dc50ca1bc,5,,"Satisfeito
",2017-11-22,2017-11-22 14:45:40,4 stars,0.5510314702987671,Positivo,2017
104,97d4feff1fd7129bee6cde095b9dac2a,b4039fffc67d7a5a75a3ba881d75e402,5,,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",2017-06-24,2017-06-29 13:48:21,5 stars,0.3481230139732361,Positivo,2017
109,1692078634b63c7f25aa90ee746ec498,5bc4e94aef2841f392fb6fe7ceef69b6,5,OTIMO,OK RECOMENDO,2018-05-23,2018-05-28 12:48:45,4 stars,0.46319589018821716,Positivo,2018
111,ff722b4c68783a4459a3adb9bb4e1d0d,b8702f50a689621ab21ef200b55a5b8d,3,,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",2018-01-16,2018-01-18 23:25:29,2 stars,0.41203615069389343,Negativo,2018
112,8055e963f26f70c406ca517b2c2848e6,9218ec94cd0d96e4c3e6b8c1504aa8dc,5,,"Produto de muito boa qualidade, chegou antes do prazo prometido",2017-12-17,2017-12-19 17:31:58,5 stars,0.6097791790962219,Positivo,2017
116,ae728c1061bf163b4bd256ad9ee0bb83,45c780334bc32cb77559a65c5f171160,1,,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",2018-01-04,2018-01-10 09:52:57,1 star,0.720996081829071,Negativo,2018
117,41926e45719f9b923357ea3bb222195f,1601df22ba2f78168443e6f729e74868,5,,"Entrega muito rápida
Parabéns",2017-08-29,2017-08-29 21:06:01,5 stars,0.4778767228126526,Positivo,2017
120,72730619a00e0ecdecf0a4ff862d8996,af76a45a10524549102e010f2bd9d3cd,1,,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,2017-11-07,2017-11-08 21:54:58,1 star,0.5127888321876526,Negativo,2017
122,c5d83c2523ef15209c8faf5133a7bafb,7eba0b6b5cb480d65416e26e2528d250,4,,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",2017-12-16,2017-12-19 23:21:17,5 stars,0.5903224945068359,Positivo,2017
128,766fc608e4f2683020fb0a121d9db23e,77fc7da5ef4df2c48276ae832072dcf1,5,,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",2018-01-10,2018-01-11 07:47:10,5 stars,0.6186968684196472,Positivo,2018
129,5c37d7ba6ef2f031c34bb4fda3454018,bbd1b9ebbc5a09d51caaa2d10e0f93b5,2,,Demorou de mais pra entrega ,2017-12-17,2017-12-17 12:14:13,3 stars,0.3625050485134125,Neutral,2017
131,83414f98136ce687f7eb69e555b2519c,36e05888e17fa68e55b13477d9b53d3e,5,,super rapido a entrega .... chegou antes da data... ,2017-10-24,2017-10-25 19:36:57,5 stars,0.7447604537010193,Positivo,2017
132,46d8249ea59101c7288936c3e6f155d7,f25ddb6cd62d720a5d91fff80467930a,3,Entrega atrasou,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,2018-01-20,2018-05-15 00:45:28,1 star,0.6686139702796936,Negativo,2018
133,346317f9aff540395fe46893611854f8,546ffb713086001ce9f0009158f88b73,1,,Não funciona não faz sincronismo,2017-09-17,2017-09-18 23:39:56,1 star,0.8103418946266174,Negativo,2017
134,2685a4800004a12ec09d27264ff1915f,5c973d2b4652e1dec15353b59339f3b4,5,,Recomendo a todos os clientes,2016-10-22,2016-10-26 17:47:19,5 stars,0.49954646825790405,Positivo,2016
136,c422274e50e900b46fee429016c5458d,950bb159eea525ff8947b92c93b02f8e,3,,Gostei ,2017-09-24,2017-09-25 14:09:58,5 stars,0.4287186861038208,Positivo,2017
143,3f6d9482c57cdb5fc7012f7b9b5ed4c5,2a3251c95a3d5c57ed230021faa588a0,5,,OTIMA,2018-04-19,2018-04-22 12:25:48,3 stars,0.266998827457428,Neutral,2018
144,a55012f5c7e74353e92986be15d133b6,54b73f808b0ff25da4276773c30ac269,5,,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",2017-06-03,2017-06-04 02:22:55,5 stars,0.7547059655189514,Positivo,2017
146,487f8ff16eaf366dc7c01652202048c3,d5ba80d74b52c335ae36398d6159e6ee,1,,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",2017-08-22,2017-08-22 23:45:13,1 star,0.4024471938610077,Negativo,2017
150,ef8ae544c432bb1053ba5990bd0d6227,e18ebd6286697a3f0f6fe267d8286cb2,1,,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,2018-01-12,2018-01-13 00:28:49,1 star,0.7584775686264038,Negativo,2018
151,aaab917291fea34988b9a0cb60e0716f,560f7585b57fcc9579460fa21c0d8ec1,1,,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",2018-04-05,2018-04-06 11:06:19,1 star,0.45865878462791443,Negativo,2018
152,3f73914ab5fc1cd68ad6757c93644349,3144812170fbb0c3b71bbd757609f605,5,,Sempre compro na lannister.Pra mim é a melhor loja on-line,2018-03-14,2018-03-17 10:26:13,5 stars,0.8006824851036072,Positivo,2018
153,e2fd85e5df711bd91e6e96e13c741843,c9645496b715730a1a5d07eb97a6bf6b,5,,Produto de qualidade excelente,2017-01-31,2017-02-01 16:56:49,5 stars,0.78349769115448,Positivo,2017
160,42ae74a43661be8587b2e2db054179db,0a187dd7f4efe70e8c3b6e3779b3b133,5,,Ótimo custo-benefício,2017-09-14,2017-09-15 14:15:14,3 stars,0.33630096912384033,Neutral,2017
161,d8f61c7fcd172785563a65cd65a8cea8,cf34fe44babb9fd001a001acfa43cabf,5,,OK,2017-11-19,2017-11-22 19:34:39,3 stars,0.49511438608169556,Neutral,2017
164,79927442ebcbf70b2021e1339bb9a51b,1c8898140458c37fbbf0be37d47193b9,5,muito boa,Gostei da atenção com a entrega,2018-04-27,2018-04-30 08:04:49,5 stars,0.4555872678756714,Positivo,2018
167,14613df954694f243dedeaa2c8a3a5c2,1e91914c9706a5d4665b8c5a6294b107,4,4 ," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",2018-05-15,2018-05-16 23:41:51,2 stars,0.42232105135917664,Negativo,2018
168,5f938e5f5f2e9a75710b54feeb9ea610,d9ff0185a300435402f043124f530274,1,Médio,A peça não serviu,2018-05-11,2018-05-14 14:08:04,1 star,0.6761372089385986,Negativo,2018
169,d7ea05bb4f9c77d606fd90b1a27e317d,bb5b0d8f3e9c964760c674f2aa2ae0cf,1,,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,2018-03-29,2018-03-29 23:13:58,1 star,0.8344635963439941,Negativo,2018
170,185cb85ede91009d7a8e685687c037ee,2e5dc86c8c4aa663549caf5e31de840d,1,,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",2017-04-06,2017-04-09 18:25:12,5 stars,0.2673934996128082,Positivo,2017
171,0c9b6ca9b3beaf0fd5d621f63844ea01,cadd4c5765abf658117f2cc7e2a639c2,5,prazo entrega,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",2018-08-26,2018-08-29 02:48:21,3 stars,0.41182971000671387,Neutral,2018
175,c399eafa15aafaecdd1d9008f5b34ed6,3081ddf6e7c6afa4e4124e7882486fcd,5,,"Entregou no prazo certo, fiquei feliz com a compra que fiz",2017-06-23,2017-06-24 00:58:52,5 stars,0.3224606215953827,Positivo,2017
179,8ef36616bef00398b6e413c124f436c8,6925682cc441a2514cd15f7f17ece7b2,5,,Lindo relógio adorei,2017-05-31,2017-06-01 01:21:14,5 stars,0.6006283760070801,Positivo,2017
181,57e994485c2ebd293e4fa9cd62e5bb96,201691efe89d4d71f36e5ea279a8759a,3,,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",2018-03-14,2018-03-16 20:26:10,1 star,0.49043115973472595,Negativo,2018
186,59d95e0b5b52d038dc3a022b7c912969,fc8c2e8bc069aea361c41c313464993c,5,Super produto ,Muito bom alta qualidade!,2018-07-04,2018-07-05 00:56:21,5 stars,0.8252108097076416,Positivo,2018
189,a0adf7a439816b22050d6bf433cbbff6,15c8f741c0b7deafafea8af0f7bb6852,5,,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",2018-04-10,2018-04-13 11:04:52,4 stars,0.4688151478767395,Positivo,2018
190,93fbbe62dcf6ffac99be013a1c68eb52,935f0d2ac8ce7ce29f5712d2637ddb33,5,,Muito bom,2018-02-20,2018-02-21 09:42:27,5 stars,0.6459386944770813,Positivo,2018
191,c40a6b6e0181e5ec0d12cbc2e12c49d3,f3468d6a2c7586711e9952242898aad4,1,falta de produto e quebra,Faltou 1 produto e os que recebi 1 veio quebrado,2018-05-23,2018-05-23 22:23:00,1 star,0.8026872873306274,Negativo,2018
192,5241fcad10d7b45a1761f1e1e1536faa,0bcbcc3e0a09b3f6a9495de35f452616,5,super recomendo,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",2018-07-07,2018-07-09 18:12:17,5 stars,0.7220303416252136,Positivo,2018
198,06f47dacd0575e592bf6a17e922ce6cd,82348f1b5f24ac795fa9320e02c49553,1,não recebi ainda,aqui está descrevendo como entregue só que ate agora não recebi,2018-06-28,2018-06-29 16:34:46,3 stars,0.25929203629493713,Neutral,2018
199,d36219dfadc3a5b07ab66670d23915ad,22613579f7d11cc59c4347526fc3c79e,5,,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",2016-10-19,2016-10-20 12:40:59,3 stars,0.5653700232505798,Neutral,2016
200,5230dc021b8ce3fe53ed728af873a6d1,fc850201b579f014488f1cca40aaa06d,5,,Ainda não tive a oportunidade de testar,2017-11-23,2017-11-25 16:59:50,2 stars,0.3366559147834778,Negativo,2017
